nombre_cancion,nombre_artista,genero,mood,contexto,energia,valencia,danceability,instrumentalidad,intensidad,idioma
2 Pa 2,JOTAA,['urbano'],"['energico', 'motivador']","['fiesta', 'discoteca']",0.8,0.7,0.9,0.1,0.6,español
3 PECADOS DESPUES ,Milo j,['reggaeton'],"['energico', 'motivador']","['fiesta', 'discoteca']",0.9,0.8,0.95,0.05,0.7,español
505,Arctic Monkeys,['rock'],"['triste', 'melancolico']","['casa', 'relax']",0.4,0.3,0.2,0.8,0.5,inglés
6 DE FEBRERO,Aitana,['pop'],"['romantico', 'amoroso']","['cita', 'romance']",0.6,0.9,0.5,0.2,0.4,español
7 Trompetas,Cris MJ,['hip-hop'],"['energico', 'motivador']","['gym', 'entrenar']",0.9,0.8,0.8,0.1,0.7,español
8 Mile,Eminem,"['hip-hop', 'rap']","['energico', 'motivador']","['gym', 'entrenar']",0.8,0.4,0.7,0.2,0.9,inglés
Absence,Rio Romeo,"['rock', 'alternativo']","['triste', 'melancolico']","['casa', 'relax']",0.3,0.6,0.2,0.8,0.5,inglés
Adan y Eva,Paulo Londra,"['reggaeton', 'urbano']","['feliz', 'alegre']","['fiesta', 'discoteca']",0.9,0.8,0.9,0.1,0.7,español
Airbag,Radiohead,"['rock', 'alternativo']","['triste', 'melancolico']","['casa', 'relax']",0.4,0.5,0.3,0.9,0.6,inglés
All I Need,Radiohead,"['rock', 'alternativo']","['triste', 'melancolico']","['casa', 'relax']",0.5,0.7,0.4,0.8,0.7,inglés
All I Want for Christmas Is You,Mariah Carey,['pop'],"['feliz', 'alegre']","['fiesta', 'discoteca']",0.8,0.9,0.8,0.2,0.6,inglés
Antes de que cuente diez,Fito y Fitipaldis,['rock'],"['triste', 'melancolico']","['casa', 'relax']",0.6,0.6,0.5,0.7,0.7,español
Anto Rocuzzo,turrobaby,"['hip-hop', 'rap']","['energico', 'motivador']","['gym', 'entrenar']",0.9,0.4,0.8,0.2,0.9,español
Anxiety,Doechii,"['hip-hop', 'rap']","['triste', 'melancolico']","['casa', 'relax']",0.4,0.6,0.3,0.8,0.5,inglés
Apocalypse,Cigarettes After Sex,"['indie', 'alternativo']","['triste', 'melancolico']","['casa', 'relax']",0.3,0.5,0.2,0.9,0.6,inglés
APT.,ROSÉ,"['pop', 'urbano', 'latin']","['euforico', 'feliz', 'alegre']","['fiesta', 'discoteca', 'social']",0.8,0.9,0.7,0.1,0.6,español
Arabella,Arctic Monkeys,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'mañana']",0.4,0.3,0.2,0.8,0.5,inglés
Babydoll,Dominic Fike,"['pop', 'urbano', 'latin']","['euforico', 'feliz', 'alegre']","['fiesta', 'discoteca', 'social']",0.8,0.9,0.7,0.1,0.6,inglés
back to friends,sombr,"['pop', 'urbano', 'latin']","['euforico', 'feliz', 'alegre']","['fiesta', 'discoteca', 'social']",0.8,0.9,0.7,0.1,0.6,español
Back to the Old House - 2011 Remaster,The Smiths,"['rock', 'indie', 'alternativo']","['triste', 'melancolico', 'nostalgico']","['casa', 'relax', 'mañana']",0.4,0.3,0.2,0.8,0.5,inglés
Bad Habit,Steve Lacy,"['pop', 'urbano', 'latin']","['euforico', 'feliz', 'alegre']","['fiesta', 'discoteca', 'social']",0.8,0.9,0.7,0.1,0.6,inglés
Bajo El Sol,turrobaby,"['pop', 'urbano', 'latin']","['euforico', 'feliz', 'alegre']","['fiesta', 'discoteca', 'social']",0.8,0.9,0.7,0.1,0.6,español
